,lyrics,title,album,,,
,"A parcel arrived: 
It was the gift that keeps giving. 
I opened it up. 
and all the bells started ringing. 
Gonna take you right back, 
Right back to the begining 
Of The gift that keeps givin again: 
It's the Gift that keeps giving again. 

Well before I received, 
This gift that keeps on giving. 
I was always perceived as a loser, 
That kept losing. 
Well look at me now, 
I'm a reciever that's reciving. 
All these gifts that keeps giving again. 
It's the gift that keeps giving again. 

Giving the gift that keeps giving again. 
It's the gift that keeps giving again. 

Give it again, give it again, give it again. 
Give it again, give it again. 

Giving the gifts that keeps giving again. 
It's the gift that keeps giving again. 
It's the gift that keeps giving. 
Recievers keep receiving. 
It's the gift that keeps giving again.",,Hey! Venus,,,
,"Sometimes feel I'm running around. 
When I'm running around, 
running around. 
Round, round. 
Sometimes feel I'm lost when I'm found. 
Yes I'm lost when I'm found, 
head in the ground. 
Boo! Hoo! Hoo! 
People feel so free when they're bound. 
To the circular pound after circular pound. 
Wow! Wow! Wow! 
I believe in death after life. 
Yes in death after life. 
Switch off the light. 
Bye! Bye! 

Neo consumer! Neo consumer! 

Sometimes I get lost in the mall. 
Well I'm feeling so small. 
No longer tall. 
Insignificant and in thrall 
of the force of it all. 
Back to the wall. 
Bang! Bang! Bang! 
Shit hole made to look underground. 
Where I'm buying my round. 
Spending all my time buying stuff. 
When I've more than enough. 
More than enough. 
Cough! Cough! 

Neo Consumer! Neo Consumer!
",,Hey! Venus,,,
,"Hey Venus did you catch the sun? 
Hey Venus did you catch the sun? 
Whilst searching for the sound that shines 
Into the night into the night into the night. 

She blew my mind up by remote control. 
Where my ears are you'll see a hole: 

Take a look inside 
and we will fly into the night. 
On the horizon we can hear a noise. 

Coming at us with an ancient poise. 
Proffesorarus come and teach the sound. 
That shines in a light. 
Into the night. 
Into the night. 

Shine! shine through the milky way 
keep all the ghosts at bay. 
Shine through the milky way. 
Shine! shine through the milky way 
leave me in disarray. 
Shine through the milky way. 

Was so relaxed I threw my watch into the sea and watched it drift away. 
Consumated as a castaway still searching 
for the sound that shines 
a light into the night. 
Bring all your friends 
and get them all involved. 
Roll up your ssleeves 
and get the problem solved. 
Together will build a light that shines. 
Into the night. 
Into the night. 
Into the night. 

Shine! shine through the milky way 
keep all the ghosts at bay. 
Shine through the milky way. 
Shine! shine through the milky way 
blind me by ricochet. 
Shine through the milky way. 
Shine! Shine through the universe! 
into the night immerse. 
Shine through the universe! 
Shine! Shine through the milky way. 
rise up and fly away. 
shine through the milky way 
keep all the ghosts at bay. 
Shine through the milky way. 
Shine! Shine through the milky way 
leave me in disarray. 
Shine through the milky way. ",Into the Night,Hey! Venus,,,
,"Baby, baby, baby. 
Baby ate my eight ball. 
Frothing at the mouth ascending to heaven. 
Mental note to self: 
Keep in safe place away from harm. 
Baby, baby, baby. 
Baby ate my eight ball. 
Frothing at the mouth ascending to heaven. 
See you on the other side. 
Sorry to cut your life so short. 
Mental note to self: 
Keep in safe place away from harm. 
Baby, baby, baby. 
Baby ate my eight ball. 
Baby, baby, baby. 
Baby ate my eight ball. 
Frothing at the mouth ascending to heaven. 
Baby, baby, baby. 
Baby ate my eight ball. 
Baby, baby, baby. 
Baby ate my eight ball. ",Baby Ate my Eight Ball,Hey! Venus,,,
,"You can't run. 
though you might try 
be sure 
before we goodbye. 

Eat your drink. 
and drink your food. 
Through life. 
I'll live by these rules. 

As with you. 
I love to live. 
So please. 
no more passing ships. 

Who's the fool. 
who suffers fools? 
Is it me or 
is it you?",,Hey! Venus,,,
,"Suckers! in the country. 
Suckers in the city. 
suckers up in outer space. 
Suckers to the north 
and suckers to the south 
and suckers to the east and west. 
Tell me you're a phoenix. 
rising far above all the. 
Suckers in the mainstream. 
Suckers in their slipstream. 
Suckers in the uncerground. 
Suckers on the benches. 
Suckers in the trenches. 
Suckers in the lost and found. 
Tell me you're a phoenix. 
Rising far above. 
All the: 
Suckers in the movies 
Suckers on the dvd's 
Suckers on the tv screens. 
It's over and we've just begun. 
Tell me you're a phoenix 
Rising far above all those: 
Suckers in the meantime 
Suckers in the night time. 
Suckers in the afternoon. 
Suckers playing stadiums. 
Filled up to the rafters. 
Singing power ballad songs. 
Tell me you're a phoenix. 
Rising far above all those: 
Suckers in the boardrooms. 
Suckers in the showrooms. 
Suckers on the tennis courts. 
Suckers in reactors. 
Splitting up the atoms. 
Suckers meesing up my hair. 
Tell me you're a phoenix. 
Rising far above. 
And that sucker in the mirror. 
Sucker needs a tuner. 
Sucker needs to buy a comb. 
It's over and we've just began.",Suckers!,Hey! Venus,,,
,"Battersea Odyssey
Battersea Odyssey
The power goes direct to my head
Battersea Odyssey
Battersea Odyssey
The future ain't what is should have been
Seen better times
But she always shines
Battersea
Battersea Odyssey
Battersea Odyssey
Fell in love with what looks like a flying V
Battersea Odyssey
Battersea Odyssey
Status Quo versus danger zone
Seen better times
But she always shines
Battersea
Battersea Odyssey
Battersea Odyssey
Battersea Odyssey
Battersea Odyssey",,Hey! Venus,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,"Packed her life in a bag. 
Sucking deep on a fag. 
Said goodbye to the mirror. 
Threw her keys in the river. 
And ran along. 

Took the train to the city. 
Had her grandmothers beauty. 
Got the luckies of brakes. 
Spotted buying a rake. 
In the Garden center. 

Bring down the chandeliers. 
Bring down these darkest of years. 
We'll take you on at your game. 
let the wolves howl at the moon. 
Let the wolves howl at the moon. 
For the end it comes so soon. 
Let the wolves howl at the moon. 

Little by little. 
took that road to the middle. 
No more peripheral vision. 
Now she's on television. 
Making light of her past exeses. 

Bring down the chandeliers. 
Bring down these darkest of years. 
We'll take you on at your game. 
Let the wolves howl at the moon. 
Let the wolves howl at the moon. 
For the end it comes so soon. 
Let the wolves howl at the moon.
",,Hey! Venus,,,
,,,,,,
,"Take no shit, you gotta get a grip
Take the risk, slip those discs
Lovers tiff, gonna slit the wrist
Just wipe those lips, sink the shit
Crazy, crazy naked girls
Take no shit, you gotta get a grip
Take the risk, slip those discs
Lovers tiff, gonna slit the wrist
Just wipe those lips, sink the shit (crazy, crazy naked girls)
Take no shit, you gotta get a grip
Take the risk, slip those discs
Lovers tiff, gonna slit the wrist
Dress it up, dress it down
Night going on, (????)
Crazy, crazy naked girls",Crazy Naked Girls ,Dark Days/Light Years,,,
,"I wasn't looking for a mountain 
There was the mountain 
It was a big fucking mountain 
So I climbed the mountain 
It was no ordinary mountain 
It was a strange-looking mountain 
But when I got to the top it was two foot tall 
It was oh so small 

But coming down from my mountain 
There was nothing to stop me 
Prepared for the future 
Accomplished back left behind me 
With a (???) tentpole 
I move on gradually 
My ship was leaking 
""No danger,"" I said, ""you can use my compass instead"" 

From a ring-o-ring-o-roses 
As we had through history 
From a (???) 
Here comes the cavalry 
Even (???) 
Detatched from reality 
And when the time comes you will know what I mean 
When we all fall down 

I wasn't looking for a mountain 
There was the mountain 
It was a big fucking mountain 
So I climbed the mountain 
It was no ordinary mountain 
It was a strange-looking mountain 
But when I got to the top it was two foot tall 
It was oh so small 

My mind was scrambling 
For a thought that was happening 
Do we need more than diplomacy 
To get us through tragedy 
One thing is for sure 
You can't beat solidarity 
So on my return it was clear as day, it was all okay 

I looked for the mountain 
There's always a mountain 
So make a molehill from the mountain (???) 
And banish all mountains 
Now there's no more mountains 
What else can there be? 
And as sunset falls, the (?????) told me 
No matter where you go, there you are ",Mt,Dark Days/Light Years,,,
,"Hot clubs and endless nights 
Hot clubs and endless nights 
Hot lies and alibis 
Dark days seem light years away 

I can see through your lies, 'cos you've got moped eyes I can see through your lies, 'cos you've got moped eyes 

Safe house for suffering 
Shitbags and shattering sighs 
Sore eyes, mosquito bites 
Zip up and zigzag away 

I can see through your lies, 'cos you've got moped eyes I can see through your lies, 'cos you've got moped eyes

Hot wheels at traffic lights 
Hot deals, transactional rights 
From middle age sophisticates 
To stone aged reprobates 

I can see through your lies, 'cos you've got moped eyes I can see through your lies, 'cos you've got moped eyes ",Moped Eyes,Dark Days/Light Years,,,
,"Trams 
Inaugral Trams 
Trams 
Inaugral Trams 
Trams 

I will design a town in the image of your face. 
Round the wrinkles of your eyes my footsteps you can trace. 
We could promenade down infra-nasel depression. 
The streets of your hands will never feel a recession. 

It's a secular day and it will be even better tomorrow. 
It's the first day of the intergrated transport hub, 
Let us celebrate this monumental progress. 
We have reduced emmisions by 75% 

Trams 
Inaugral Trams 
Trams 
Inaugral Trams 
Trams 

They say the future of cement is set in stone. 
We could proclaim a republic and throw away the throne. 
We will likely ????? spaceships. (beep) 
By the speed of light the ??? will get ??? (beep) 
(Trams)It's a secular day and it will be even better tomorrow. 
(Trams)It's the first day of the intergrated transport hub, 
(Trams)Let us celebrate this monumental progress. 
(Trams)We have reduced emmisions by 75% 

***0 0 0 
halt die Stelle, halt die Stelle (keep the position, keep the position) 
1 10 
Ralf will was von ihm (Ralph wants something from him) 

1 2 3 
vergessen Sie Ihren Hut heut nicht (don't forget your hat today) 

3 4 5 
und fahren Sie mit uns in Ihre Zukunft, jetzt! (and start driving into your future with us, now!) 

6 7 8 
wer htte das gedacht? (who had thought this?) 

9 10 
oh Kurt hatte Uta aus der Revue (oh, Kurt had Uta from the revue) 

da luft ein kleiner Hund im Netz, nein Nerz (a small dog is walking in a net, no fur) 

0 0 0 
halt die Stelle (keep the position) 

hallo Bonbon. (hello drop) 

Trams 
(Trams)It's a secular day and it will be even better tomorrow. 
(Trams)It's the first day of the intergrated transport hub, 
(Trams)Let us celebrate this monumental progress. 
(Trams)We have reduced emmisions by 75% 
It's a magical day and will even better tomorrow, 
Let us make the best of a difficult situation."" ",Inaugural Trams,Dark Days/Light Years,,,
,"Inconvenience, what the fuck!? 
Inconvenience, we're baking up (??) 
Inconvenience, ran out of gas 
Inconvenience, pain in the ass 
(SPACE EMISSION???) 
Inconvenience, burning tyre 
Inconvenience, set me on fire 
Inconvenience, times are tough 
Inconvenience, she's calling my bluff 
With all this inconvenience! 

Inconvenience, pirate ships 
Inconvenience, stole my shit 
Inconvenience, Tory scum 
Inconvenience, stall the fun (???) 
Inconvenience, holy wars 
Inconvenience, reaching my door 
Inconvenience, I'm under siege 
Inconvenience, I'm feeling diseased 
With all this inconvenience! ",Inconvienience,Dark Days/Light Years,,,
,"We took the Porsche down to Tiger Bay 
Drank the pubs dry where bands used to play in their heyday 
I ran amok in the luxury blocks 
Smashing windows against the clock for some therapy 
There I glimpsed where we used to come 
By the cranes and the luxury boats, a pure fantasy 
From the tower I can see the past 
Where we met and where we departed, the underworld 

Caught the train to the valley again 
Overcast a sprinkle from rains in the cavity 
I wandered down to (pirate town???) 
In the island I nearly drowned, you can count on me (???) ",Cardiff in the Sun ,Dark Days/Light Years,,,
,"Just the very thought, trust but verify 

The very best of Neil Diamond 
Sings as the bombs rain down from the crystal sky 
The very best of Neil Diamond 
Radio cassette plays on as the kitchen crushed 

Just the very thought, trust but verify 

The very best of Neil Diamond 
Hear its cry come through concrete rubble mound 
Bodies and craters strewn all around 
Still the cassette plays on, oh sweet Caroline 

Comedy killer, follow the leader 
Tragedy bringer, violent thriller 

Just the very thought, trust but verify, just to terrify 
What's an empty thought but a lullaby? 

Just the very thought 
Just to terrify 
Corpes idendified 
Back to lullaby 
Trust but verify 
Just to terrify 
Corpse identified 
back to lullaby ",The Very Best of Neil Diamond,Dark Days/Light Years,,,
,"Got my nose nose nose to smell the ground 
Eyes eyes eyes that look around 
Teeth to chew and feet to kick 
And with a mouth I can forge a relationship 
but chin chin chin what do you bring? 
Throat and mouth can make me sing 
Hands to hold the phone that rings 
but chin chin chin what do you bring? 

It's cool to find what keeps us all together 
It's fun to learn what everything is for 

Ears hear distant sounds 
Fingers built the castle mounds 
Hair keeps me warm on winters night 
So the tongue can taste the Vegemite 
but chin chin chin what do you bring? 
Lungs of air can make me sing 
Fingers hold the wedding ring 
but chin chin chin what do you bring? 

It's cool to find what keeps us all together 
It's fun to learn what everything is for 

So here goes the chin's response 
Should have phoned me in advance 
Said I was built to hold a grin or a mile-wide smile for smouldering 
So chin chin chin, thats what you bring 
Lungs of air can make me sing 
Fingers hold the wedding ring 
And the chin chin chin keeps us smiling 

It's cool to find what keeps us all together 
And now we know the chin holds up a smile",Helium Hearts,Dark Days/Light Years,,,
,"I look like a loser coming from the gutter 
Want to be a writer and be a key reader 
Listen to my opera now I'm a good listener 
Got to make my mind up so go around later 
Hey hey hey 
I'm a red rooster 
A real cold killer, a real live wire 
Switch it off and start again (x4) 

I put on my white socks, flip flops 
Put on white socks, flip flops 

Minor complications turned to ultimatums 
At first I find it funny but now it's just annoying 
A dingalingaling, hum! 
But that's another story 
Sitting on my sofa, I'll go around later 
Hey hey hey 
A red red rooster 
A real cold killer, a real live wire 
Switch it off and start again (x4) 

I put on my white socks, flip flops 
Put on white socks, flip flops 

Hey hey hey 
Switch it off and start again (x4) 

I put on my white socks, flip flops 
Put on white socks, flip flops ",White Socks/Flip Flops,Dark Days/Light Years,,,
,"Where do you wanna go? 
'Cos we could go anywhere 
When do you wanna go? 
'Cos we could go anytime 
How do you wanna go? 
'Cos we could go anyhow 
Who would you like to bring? 
'Cos we could bring everyone 

Ba da da da... 

What do you wanna feel? 
'Cos we could feel anything 
What do you want to steal? 
'Cos we could steal everything 
How would you like to plead? 
'Cos we could be ignorant 
Now is the time to leave 
There won't be a second chance 

Ba da da da... 

I wanna stay with you 
Head over heels, sleeping forever 
Where do you wanna go? 
Where do you wanna go? 
",Where do you wanna go?,Dark Day/Light Years,,,
,,,,,,
,,,,,,
